compound_id,smiles
ZINC000000895081,O=C(O)CC(O)(CC(=O)O)C(=O)O
ZINC000000895099,CC(C)[C@H](N)C(=O)O
ZINC000000895103,C[C@@H](O)[C@H](N)C(=O)O
ZINC000000895132,CCCC(=O)O
ZINC000000895145,O=Cc1ccccc1
ZINC000000895146,N[C@@H](CCO)C(=O)O
ZINC000000895186,Nc1ccccc1C(=O)C[C@H](N)C(=O)O
ZINC000000895199,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O
ZINC000000895205,OC[C@@H](O)C(O)[C@H](O)CO
ZINC000000895208,OC[C@H](O)C(O)[C@@H](O)CO
ZINC000000895216,c1cncnc1
ZINC000000895218,N[C@H](CC(=O)O)C(=O)O
ZINC000000895228,O=C1CCNC(=O)N1
ZINC000000895261,C=C(CC(=O)O)C(=O)O
ZINC000000895263,COC(=O)c1cc(O)cc(OC)c1C(=O)c1c(O)cc(C)cc1O
ZINC000000895264,O=C(O)C[C@@H](O)C(=O)O
ZINC000000895302,OCc1ccccc1
ZINC000000895304,O=C1CCCC1
ZINC000000895313,O=C[C@H](O)CO
ZINC000000895323,O=CCc1ccccc1
ZINC000000895330,N[C@@H](Cc1c[nH]c2ccc(O)cc12)C(=O)O
ZINC000000895360,O=C(O)[C@@H]1CCCN1
ZINC000000895404,O=c1ccc2cc3ccoc3c(O)c2o1
ZINC000000895446,CC(=O)OC[C@H](N)C(=O)O
ZINC000000895455,O=C(O)[C@H]1C[C@@H](O)CN1
ZINC000000895486,C[C@@H](O)CC(=O)O
ZINC000000895531,C[C@@H](CN)C(=O)O
ZINC000000895534,O=C(O)[C@@H](O)Cc1ccc(O)c(O)c1
ZINC000000895535,O=C(O)[C@H](O)Cc1ccc(O)c(O)c1
ZINC000000895536,NC1(C(=O)O)CC1
ZINC000000895587,C[C@H](CN)C(=O)O
ZINC000000895617,COc1cc2c(cc1O)[C@@H](Cc1ccc(O)cc1)N(C)CC2
ZINC000000895660,CC(C)(O)CCc1c(O)ccc2c1O[C@H]1c3ccc(O)cc3OC[C@@H]21
ZINC000000895662,CC(C)=CCc1c(O)ccc2c1O[C@H]1c3ccc(O)cc3OC[C@@H]21
ZINC000000895703,N[C@H](CCS)C(=O)O
ZINC000000895711,O=C(O)C(=O)Cc1ccc(O)cc1
ZINC000000895809,O=Cc1cc(O)ccc1O
ZINC000000895862,O=C(O)CC[N+](=O)[O-]
ZINC000000895934,OCCc1ccccc1
ZINC000000895970,CC[C@H](O)C(=O)O
